"# Questions",,A,B,C,D,E
A - The teacher,,,,,,
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
1 Effectively utilizes the,,,,,,
"",,,,,,Disagree
classroom interaction time for,,25 (83.33%),5 (16.67%),0 (0.00%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
2 Is able to communicate well,,,,,,
"",,,,,,Disagree
with the students.,,26 (86.67%),4 (13.33%),0 (0.00%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
3 Makes efforts to inculcate  life,,,,,,
"",,,,,,Disagree
skills and employability/,,23 (76.67%),6 (20.00%),0 (0.00%),0 (0.00%),1 (3.33%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
4 Comes prepared for the class,,,,,,
"",,,,,,Disagree
and has helpful approach to,,24 (80.00%),6 (20.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
5 Discusses about expected,,,,,,
"",,,,,,Disagree
"competencies, Course",,22 (73.33%),8 (26.67%),0 (0.00%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
6 Utilizes student centric,,,,,,
"",,,,,,Disagree
"methods, such as experiential",,22 (73.33%),7 (23.33%),1 (3.33%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
7 Identifies your strengths and,,,,,,
"",,,,,,Disagree
encourages you with providing,,21 (70.00%),7 (23.33%),0 (0.00%),0 (0.00%),2 (6.67%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
8 Identifies your weaknesses,,,,,,
"",,,,,,Disagree
and helps you to overcome,,22 (73.33%),6 (20.00%),1 (3.33%),0 (0.00%),1 (3.33%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
9 Encourages you to participate,,,,,,
"",,,,,,Disagree
in co- curricular and,,22 (73.33%),8 (26.67%),0 (0.00%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
10 Does a necessary follow-up,,,,,,
"",,,,,,Disagree
with you for an assigned task,,22 (73.33%),7 (23.33%),1 (3.33%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
11 Discusses the answers of test,,,,,,
"",,,,,,Disagree
after showing evaluated,,23 (76.67%),6 (20.00%),1 (3.33%),0 (0.00%),0 (0.00%)
"",,Completely Agree,Agree upto 75%,Agree upto 50%,Agree upto 25%,Completely
12 Is fair in evaluation aspects of,,,,,,
"",,,,,,Disagree
internal examination.,,23 (76.67%),6 (20.00%),0 (0.00%),1 (3.33%),0 (0.00%)
